faculty_no,enrollment_no,semester,current_sem,AMS1121,grade1,APS1111,grade2,APS1911,grade3,EZH1111,grade4,MEA1121,grade5,COA1112,grade6
24COBEA170,gk1054,S24251,1,AMS1121,A,APS1111,B+,APS1911,A,EZH1111,B,MEA1121,A,COA1112,A+
24COBEA171,gp2345,S24251,1,AMS1121,B+,APS1111,A,APS1911,B+,EZH1111,A,MEA1121,B,COA1112,A
24ELBEA180,gs4567,S24251,1,AMS1121,A+,APS1111,A+,APS1911,A,EZH1111,A,MEA1121,A+,COA1112,A+
24EEBEA190,gt6789,S24251,1,AMS1121,B,APS1111,B+,APS1911,B,EZH1111,C,MEA1121,B+,COA1112,A
23COBEA150,gm8901,S23241,3,COA2131,A,COA2132,A,COA2931,A+,AMS2131,B+,ELA2131,A,HUA2131,B+
23COBEA151,gn2468,S23241,3,COA2131,B+,COA2132,A,COA2931,A,AMS2131,A,ELA2131,B+,HUA2131,A
23ELBEA160,gr3579,S23241,3,COA2131,A+,COA2132,A+,COA2931,A+,AMS2131,A+,ELA2131,A,HUA2131,A
22COBEA140,gv4680,S22251,5,COA3151,A,COA3152,A,COA3153,A+,COA3951,A,COA3154,A+,COA3155,A
22EEBEA145,gw5791,S22251,5,COA3151,B+,COA3152,A,COA3153,A,COA3951,B+,COA3154,A,COA3155,B+
24COBEA172,gx6802,S24251,1,AMS1121,I,APS1111,I,APS1911,0,EZH1111,0,MEA1121,0,COA1112,0
